01 Mar 2021 18:19:56 MSK |   192.168.0.107 |       6.956µs | 404 | [GET]     | /home 
01 Mar 2021 18:19:56 MSK |             ::1 |      57.488µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:56 MSK |             ::1 |       73.23µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:56 MSK |             ::1 |      83.357µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:57 MSK |             ::1 |     131.765µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:57 MSK |             ::1 |     100.356µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:57 MSK |             ::1 |      98.633µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:57 MSK |   192.168.0.107 |       4.811µs | 404 | [GET]     | /home 
01 Mar 2021 18:19:57 MSK |             ::1 |     124.344µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:58 MSK |             ::1 |     123.129µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:21:13 MSK |             ::1 |     135.686µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:21:14 MSK |             ::1 |      52.543µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:21:15 MSK |             ::1 |      36.472µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:21:15 MSK |             ::1 |      39.146µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:21:20 MSK |             ::1 |       5.411µs | 404 | [GET]     | /1 
01 Mar 2021 18:21:23 MSK |             ::1 |       5.082µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:24 MSK |             ::1 |       4.436µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:24 MSK |             ::1 |       6.819µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:25 MSK |             ::1 |       6.822µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:25 MSK |             ::1 |       5.715µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:25 MSK |             ::1 |       4.708µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:25 MSK |             ::1 |       5.655µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:25 MSK |             ::1 |       4.352µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:25 MSK |             ::1 |        6.27µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:26 MSK |             ::1 |         5.4µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:26 MSK |             ::1 |       6.057µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:26 MSK |             ::1 |       5.748µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:26 MSK |             ::1 |       6.028µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:26 MSK |             ::1 |       5.228µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:26 MSK |             ::1 |       4.312µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:26 MSK |             ::1 |        4.23µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:26 MSK |             ::1 |       5.037µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:26 MSK |             ::1 |        5.24µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:27 MSK |             ::1 |       5.495µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:27 MSK |             ::1 |       5.414µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:27 MSK |             ::1 |       3.704µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:27 MSK |             ::1 |       7.872µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:27 MSK |             ::1 |       5.162µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:27 MSK |             ::1 |       6.156µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:27 MSK |             ::1 |      40.944µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:28 MSK |             ::1 |       6.194µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:28 MSK |             ::1 |       4.197µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:28 MSK |             ::1 |        4.32µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:28 MSK |             ::1 |       6.843µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:28 MSK |             ::1 |        5.97µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:28 MSK |             ::1 |       5.459µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:28 MSK |             ::1 |       4.783µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:28 MSK |             ::1 |       4.428µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:29 MSK |             ::1 |       5.906µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:29 MSK |             ::1 |       4.883µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:29 MSK |             ::1 |       5.631µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:29 MSK |             ::1 |       4.845µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:29 MSK |             ::1 |       6.362µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:29 MSK |             ::1 |       5.149µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:29 MSK |             ::1 |       4.881µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:29 MSK |             ::1 |       5.946µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:30 MSK |             ::1 |        4.58µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:30 MSK |             ::1 |       5.262µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:30 MSK |             ::1 |      20.387µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:30 MSK |             ::1 |       4.374µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:30 MSK |             ::1 |       4.994µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:30 MSK |             ::1 |       4.326µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:30 MSK |             ::1 |        7.21µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:30 MSK |             ::1 |       5.438µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:30 MSK |             ::1 |       6.074µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:31 MSK |             ::1 |       5.066µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:31 MSK |             ::1 |       6.735µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:31 MSK |             ::1 |       5.528µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:31 MSK |             ::1 |       4.799µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:31 MSK |             ::1 |       5.499µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:31 MSK |             ::1 |      19.788µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:31 MSK |             ::1 |       4.372µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:31 MSK |             ::1 |      31.563µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:32 MSK |             ::1 |       4.924µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:32 MSK |             ::1 |        5.42µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:32 MSK |             ::1 |       5.052µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:32 MSK |             ::1 |       5.563µs | 404 | [GET]     | /friends 
01 Mar 2021 18:21:33 MSK |             ::1 |      49.255µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:23:59 MSK |             ::1 |     122.472µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:24:00 MSK |             ::1 |      57.349µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:24:00 MSK |             ::1 |     131.754µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:24:00 MSK |             ::1 |      59.113µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:24:00 MSK |             ::1 |      80.131µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:24:01 MSK |             ::1 |      52.652µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:24:01 MSK |             ::1 |      82.994µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:24:01 MSK |             ::1 |      79.582µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:24:02 MSK |             ::1 |      80.214µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:24:03 MSK |             ::1 |      52.015µs | 200 | [GET]     | /metrics 
